486	17/12/2019	19/12/2019	Vente	81 Voltalia	989,75 €	991,84 €
485	10/12/2019	12/12/2019	Achat	138 Plastivaloire	-1 008,26 €	2,09 €
484	09/12/2019	11/12/2019	Achat	215 Passat SA	-1 000,10 €	1 010,35 €
483	05/12/2019	09/12/2019	Achat	174 Innate Pharma SA	-1 000,39 €	2 010,45 €
482	28/11/2019	28/11/2019	Virement interne	de 2001960, David CARBONEL	2 000,00 €	3 010,84 €
481	28/11/2019	02/12/2019	Achat	47 Marseillaise du Tunnel Prado Carenage	-994,20 €	1 010,84 €
480	27/11/2019	27/11/2019	Virement interne	de 0719479, David CARBONEL	2 000,00 €	2 005,04 €
479	26/11/2019	28/11/2019	Achat	317 Catana Group	-923,39 €	5,04 €
478	26/11/2019	26/11/2019	Virement	Prlv Taxe Fin. Eramet SA 26112019	-2,92 €	928,43 €
477	22/11/2019	26/11/2019	Achat	23 Eramet SA	-976,09 €	931,35 €
476	21/11/2019	25/11/2019	Achat	53 Carmat	-1 001,02 €	1 907,44 €
475	07/11/2019	11/11/2019	Vente	986 Kerlink SACA	2 026,16 €	2 908,46 €
474	06/11/2019	08/11/2019	Achat	22 727 Spineway SA	-202,50 €	882,30 €
473	28/10/2019	30/10/2019	Vente	514 Kerlink SACA	994,66 €	1 084,80 €
472	01/10/2019	01/10/2019	Paiement des dividendes	23 Dividendes Total SA	15,18 €	90,14 €
471	27/09/2019	01/10/2019	Attribution dividende	23 Dividendes Total SA	Aucune opération	74,96 €
470	29/08/2019	02/09/2019	Achat	711 Kerlink SACA	-777,49 €	74,96 €
469	14/08/2019	14/08/2019	Virement	Prlv Taxe Fin. Eramet SA 14082019	-2,89 €	852,45 €
468	12/08/2019	14/08/2019	Achat	24 Eramet SA	-967,30 €	855,34 €
467	08/08/2019	08/08/2019	Virement	Prlv Taxe Fin. Valeo 08082019	-2,92 €	1 822,64 €
466	06/08/2019	08/08/2019	Achat	52 Lyxor ETF Leverage CAC40	-993,62 €	1 825,56 €
465	06/08/2019	08/08/2019	Achat	38 Valeo	-978,72 €	2 819,18 €
464	05/08/2019	07/08/2019	Achat	51 Lyxor ETF Leverage CAC40	-988,23 €	3 797,90 €
463	05/08/2019	07/08/2019	Achat	50 Lyxor ETF Leverage CAC40	-976,50 €	4 786,13 €
462	02/08/2019	06/08/2019	Vente	172 Engie	2 341,08 €	5 762,63 €
461	02/08/2019	06/08/2019	Vente	233 Electricite de France (EDF)	2 548,68 €	3 421,55 €
460	02/08/2019	06/08/2019	Achat	49 Lyxor ETF Leverage CAC40	-992,79 €	872,87 €
459	25/07/2019	29/07/2019	Vente	92 Voltalia	991,10 €	1 865,66 €
458	12/07/2019	12/07/2019	Paiement des dividendes	993 Dividendes Lyxor MSCI Greece	19,86 €	874,56 €
457	12/07/2019	12/07/2019	Paiement des dividendes	993 Dividendes Lyxor MSCI Greece	-19,86 €	854,70 €
456	15/07/2019	15/07/2019	Transfert de titres	5 Droits Voltalia Rights	Aucune opération	874,56 €
455	15/07/2019	15/07/2019	Dépôt	145 Voltalia	Aucune opération	874,56 €
454	15/07/2019	15/07/2019	Virement	Rights issue Voltalia	-1 334,00 €	874,56 €
453	15/07/2019	15/07/2019	Transfert de titres	174 Droits Voltalia Rights	Aucune opération	2 208,56 €
452	12/07/2019	12/07/2019	Paiement des dividendes	993 Dividendes Lyxor MSCI Greece	19,86 €	2 208,56 €
451	10/07/2019	12/07/2019	Attribution dividende	993 Dividendes Lyxor MSCI Greece	Aucune opération	2 188,70 €
450	01/07/2019	03/07/2019	Vente	365 Vallourec	990,30 €	2 188,70 €
449	24/06/2019	25/06/2019	Attribution droit	179 Droits Voltalia Rights	Aucune opération	1 198,40 €
448	21/06/2019	25/06/2019	Vente	10 Iliad SA	982,30 €	1 198,40 €
447	18/06/2019	18/06/2019	Achat	3 Electricite de France (EDF)	-33,30 €	216,10 €
446	18/06/2019	18/06/2019	Paiement des dividendes	230 Dividendes Electricite de France (EDF)	36,80 €	249,40 €
445	18/06/2019	18/06/2019	Dépôt	230 Dividendes Electricite de France (EDF)	Aucune opération	212,60 €
444	18/06/2019	18/06/2019	Transfert de titres	230 Dividendes Electricite de France (EDF) (stock)	Aucune opération	212,60 €
443	13/06/2019	13/06/2019	Paiement des dividendes	23 Dividendes Total SA	14,72 €	212,60 €
442	11/06/2019	13/06/2019	Attribution dividende	23 Dividendes Total SA	Aucune opération	197,88 €
441	23/05/2019	23/05/2019	Dépôt	230 Dividendes Electricite de France (EDF) (stock)	Aucune opération	197,88 €
440	23/05/2019	23/05/2019	Transfert de titres	230 Dividendes Electricite de France (EDF) (cash)	Aucune opération	197,88 €
439	23/05/2019	23/05/2019	Paiement des dividendes	172 Dividendes Engie	129,00 €	197,88 €
438	21/05/2019	22/05/2019	Attribution dividende	230 Dividendes Electricite de France (EDF) (cash)	Aucune opération	68,88 €
437	21/05/2019	23/05/2019	Attribution dividende	172 Dividendes Engie	Aucune opération	68,88 €
436	07/05/2019	07/05/2019	Virement	Prlv Taxe Fin. Iliad SA 07052019	-2,84 €	68,88 €
